,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
138,Sila,SUD,210055,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
139,"Beautiful Soul","Jesse McCartney",209670,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS
140,"Don't Know What To Do",BLACKPINK,209133,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
141,"Urong Sulong","Alisson Shore",208826,https://open.spotify.com/track/2KoWHNtJrbE0WxWfQjYjyu
142,"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor",208557,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
143,"So Sick",Ne-Yo,208491,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
144,"Lost In Japan","Shawn Mendes",208015,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
145,"A Thousand Miles","Vanessa Carlton",206976,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP
146,"214 - From ""Alone/Together""","JM De Guzman",206745,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
147,"Sweet but Psycho","Ava Max",206405,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
148,"I Want It That Way","Backstreet Boys",206345,https://open.spotify.com/track/47BBI51FKFwOMlIiX6m8ya
149,Iris,"The Goo Goo Dolls",206236,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
150,"ILYSB - STRIPPED",LANY,206109,https://open.spotify.com/track/3Dkvp3L4w0uJFYfIPa8E9H
151,Shallow,"Lady Gaga",206070,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
152,Nadarang,"Shanti Dope",204695,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
153,"Higher Love",Kygo,204599,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
154,"This Feeling","The Chainsmokers",204295,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
155,"My Boo",Usher,203339,https://open.spotify.com/track/68vgtRHr7iZHpzGpon6Jlo
156,"Rewrite The Stars","Zac Efron",203254,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
157,"Old Town Road - Remix","Lil Nas X",202624,https://open.spotify.com/track/6jmZlyf9DxcIoRrjw02YXm
158,"Bleeding Love","Leona Lewis",202474,https://open.spotify.com/track/7wZUrN8oemZfsEd1CGkbXE
159,"Take A Bow - Main",Rihanna,202194,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
160,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",201729,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
161,"'Di Lahat","Donnalyn Bartolome",200569,https://open.spotify.com/track/0Iu5xWN9wtWHp5daIj0Mjb
162,"I Need You More Today","Caleb Santos",200434,https://open.spotify.com/track/761frfZtZ8I2g70UsjFfBK
163,"A Whole New World - From ""Aladdin""","Darren Espanto",197497,https://open.spotify.com/track/3tWw8jEXsPeZh7zZoidKuh
164,"Super Far",LANY,196693,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
165,"Who Do You Love","The Chainsmokers",194178,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
166,"Tayo Na Lang Dalawa",Mayonnaise,191673,https://open.spotify.com/track/468iB1VWvEy9ln8M9zdde6
167,"Walang Gana","King Badger",191364,https://open.spotify.com/track/39fwy7Q1spclVNFeu64lgd
168,"A Thousand Years","Christina Perri",191273,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl
169,ILYSB,LANY,188835,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
170,Closer,"The Chainsmokers",188414,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
171,SOLO,JENNIE,188397,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
172,Sa'yo,"Silent Sanctuary",187873,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw
173,Breakeven,"The Script",187567,https://open.spotify.com/track/1a1i2IwXnUN0PjllVEhA4B
174,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",187445,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
175,"Treat You Better","Shawn Mendes",187411,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
176,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",187288,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
177,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",186238,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
178,"Your Song (My One and Only You)","Julie Anne San Jose",185908,https://open.spotify.com/track/5Seh4HfqT1mFnRJQswqz51
179,"Heartbeat (BTS World Original Soundtrack)",BTS,184576,https://open.spotify.com/track/5EgYDyMDCi8X0zDydTF7Rb
180,"No One","Alicia Keys",182880,https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv
181,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",181592,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
182,"Before I Let You Go",Freestyle,181282,https://open.spotify.com/track/5T8bLnWG8sg9ER8RKNZbCB
183,"Ikaw Lang",Kiyo,180768,https://open.spotify.com/track/2kRjoaqiyeS0Faus5wKztH
184,BIRTHDAY,SOMI,180372,https://open.spotify.com/track/3jsWXhE5NuPWQ4IHplv2zt
185,Lights,BTS,179692,https://open.spotify.com/track/44vXWYTcdrejrIQZEoHzl8
